SN,TITLE,CONTENT_lick,DATE
193601.0,3422 버스의 노선 변경 제안 요청합니다.,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193601,2022-11-24 15:21:28.0
193600.0,사회적으로 도움될만한 청년복지를 정리해봤습니다.,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193600,2022-11-24 14:55:07.0
193599.0,"신촌교통버스 덕은지구 경유(7711, 740, 750A) & 가양역 연결(6715, 673), 마을버스022B 조정,  DRT도입 검토등 요청합니다.",https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193599,2022-11-24 10:45:31.0
193598.0,어린이집 조리사 처우개선비 기준 완화 건의,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193598,2022-11-23 15:52:27.0
193597.0,광진구 화양동 IoT를 활용한 쓰레기 분리 배출,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193597,2022-11-23 13:06:06.0
193596.0,동대문구 전농동 도서관 건립추진에 대한 의견,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193596,2022-11-23 11:53:44.0
193594.0,우리나라 청년과 다문화 가정 청년 간 상호 이해 및 인식 개선 프로그램,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193594,2022-11-22 16:40:07.0
193593.0,구로역 환경개선 현황 문의,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193593,2022-11-22 10:05:17.0
193585.0,안녕하세요,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193585,2022-11-21 03:18:45.0
193584.0,남산 타워의 조명을 개선해 주십시요,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193584,2022-11-20 15:46:17.0
193582.0,구로2동 시립청소년센터 공평한관리제안,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193582,2022-11-19 21:58:17.0
193581.0,일요일 행사 관련 구간  광화문에서 서울역 구간  야간청소,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193581,2022-11-19 19:51:46.0
193580.0,특정구간 편중된 심야버스 노선 조정을 바랍니다,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193580,2022-11-19 11:12:40.0
193579.0,서울시 송파구 풍납동의 주택 정책,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193579,2022-11-18 14:22:50.0
193578.0,"음식물 쓰레기, 재활용품 관련",https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193578,2022-11-18 12:36:40.0
193577.0,서울형키즈카페,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193577,2022-11-18 09:42:56.0
193575.0,사당역~서리풀터널~강남역을 경유하는 4112번을 신설 합시다,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193575,2022-11-17 16:11:30.0
193574.0,최신형 폐플라스틱,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193574,2022-11-17 15:32:33.0
193573.0,따릉이와,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193573,2022-11-17 13:20:50.0
193570.0,마을버스 정류장 표지 재정비 건의 드립니다,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193570,2022-11-16 16:33:55.0
193569.0,지하철 무임승차(고령자)에 따른 적자 해소방안,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193569,2022-11-16 13:06:32.0
193568.0,시장님은 항상 바쁘시겠지만,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193568,2022-11-16 09:42:20.0
193564.0,심폐소생술(CPR) 실연자료 교통수단의 차량 및 선박안에 붙이기 운동 제안 22 11 11 BY K O IM,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193564,2022-11-15 09:25:32.0
193562.0,11/14테스트,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193562,2022-11-14 17:16:16.0
193561.0,장애인 대한 건,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193561,2022-11-14 17:12:48.0
193560.0,테스트 2,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193560,2022-11-14 17:09:16.0
