,store,sido,gungu,store_address
879,진하점,울산광역시,울주군,울산광역시 울주군 서생면 깨목길 28
880,참이슬점,경기도,평택시,경기도 평택시 참이슬길 16
881,창녕점,경상남도,창녕군,경상남도 창녕군 창녕읍 명덕로 48
882,창동역점,서울특별시,도봉구,서울특별시 도봉구 노해로63다길 6 1층 103호
883,창현점,경기도,남양주시,경기도 남양주시 화도읍 수레로 1234-26
884,천도리점,강원도,인제군,강원도 인제군 서화면 천도로94번길 1
885,천리점,경기도,용인시처인구,경기도 용인시처인구 이동면 백옥대로 623
886,천마점,경기도,남양주시,경기도 남양주시 화도읍 멋갓로28번길 39-2
887,천북점,충청남도,보령시,충청남도 보령시 천북면 하궁길 2
888,천안3점,충청남도,천안시동남구,충청남도 천안시동남구 봉정로 18
889,천안4점,충청남도,천안시동남구,충청남도 천안시동남구 중앙로 67
890,천안7단지점,충청남도,천안시서북구,충청남도 천안시서북구 쌍용11길 57
891,천안백석점,충청남도,천안시서북구,충청남도 천안시서북구 백석5길 23-1
892,천안신당점,충청남도,천안시서북구,충청남도 천안시서북구 천안대로 1220
893,천안신방점,충청남도,천안시동남구,충청남도 천안시동남구 서부대로  257-8
894,천안청룡점,충청남도,천안시동남구,충청남도 천안시동남구 구성2길 1(구성동)
895,천왕점,서울특별시,구로구,서울특별시 구로구 천왕로 56 천왕이펜하우스3단지 상가 1층 102호
896,천천2점,경기도,수원시장안구,경기도 수원시장안구 화산로 57 꽃뫼버들마을진흥아파트
897,천호점,서울특별시,강동구,"서울특별시 강동구 천중로18길 53, 1층 (천호동)"
898,철산2점,경기도,광명시,경기도 광명시 시청로 75-1
899,첨단점,광주광역시,광산구,광주광역시 광산구 산월로 64
900,청당점,충청남도,천안시동남구,충청남도 천안시동남구 청수10길 12
901,청도점,경상북도,청도군,경상북도 청도군 청도읍 청화로 202-2
902,청라2점,인천광역시,서구,인천광역시 서구 청라동  청라루비로144번길 6-6
903,청라점,충청남도,보령시,충청남도 보령시 청라면 당안길1
904,청라호수공원점,인천광역시,서구,인천광역시 서구 보석로11번길  12
905,청량리점,서울특별시,동대문구,"서울특별시 동대문구 왕산로 247, 1층(청량리동)"
906,청룡동점,서울특별시,관악구,"서울특별시 관악구 청룡길 20, 1층(봉천동)"
907,청림점,경상북도,포항시남구,경상북도 포항시남구 청림서길 29
908,청북신도시점,경기도,평택시,경기도 평택시 청북면 안청로 312-23
909,청북점,경기도,평택시,경기도 평택시 청북면 현곡2길 3
910,청양점,충청남도,청양군,충청남도 청양군 청양읍 중앙로 112-1
911,청일점,강원도,횡성군,강원도 횡성군 청일면 유동로 18
912,청주용암점,충청북도,청주시상당구,충청북도 청주시상당구 무농정로3번길 36(용암동)
913,청천2점,인천광역시,부평구,인천광역시 부평구 청중로 65
914,청평점,경기도,가평군,경기도 가평군 청평면 시장중앙로8-6
915,청풍점,충청북도,제천시,"충청북도 제천시 청풍면 청풍호로58길, 10-16"
916,초가점,경기도,포천시,"경기도 포천시 소흘읍 검바위길 84, 상가동 1층 112호(상운아파트)"
