,store,si,do,address
1182,상모,경북,구미시,경북 구미시 상모동 42-7
1183,선산,경북,구미시,경북 구미시 선산읍 동부리 416
1184,송정(구미),경북,구미시,경북 구미시 송정동 38-5 우방타운 206동2호
1185,신평공단,경북,구미시,경북 구미시 신평동 95-4
1186,옥계,경북,구미시,경북 구미시 옥계동 843-1
1187,원평,경북,구미시,경북 구미시 원평동 84-5
1188,원호,경북,구미시,경북 구미시 고아읍 원호리 442-2
1189,인동,경북,구미시,경북 구미시 인의동 341-2
1190,진평,경북,구미시,경북 구미시 진평동 29-5
1191,형곡,경북,구미시,경북 구미시 형곡동 152-4
1192,김천,경북,김천시,경북 김천시 신음동 1301-4
1193,김천부곡,경북,김천시,경북 김천시 부곡동 426-1
1194,김천혁신,경북,김천시,경북 김천시 율곡동 364
1195,점촌,경북,문경시,경북 문경시 모전동 866
1196,봉화,경북,봉화군,경북 봉화군 봉화읍 내성리 222-1
1197,상주,경북,상주시,경북 상주시 무양동 213-3
1198,성주,경북,성주군,경북 성주군 성주읍 성산리 2102-4
1199,금곡(안동),경북,안동시,경북 안동시 당북동 311-8
1200,송현오거리,경북,안동시,경북 안동시 송현동 260-5
1201,옥동(안동),경북,안동시,경북 안동시 옥동 786-15
1202,용상,경북,안동시,경북 안동시 용상동 1179-188
1203,영덕,경북,영덕군,경북 영덕군 영덕읍 덕곡리 162-1
1204,가흥,경북,영주시,경북 영주시 가흥동 1881
1205,영주,경북,영주시,경북 영주시 휴천동 642-362
1206,중앙(영주),경북,영주시,경북 영주시 영주2동 536-15
1207,풍기,경북,영주시,경북 영주시 풍기읍 성내리 2-4
1208,영천1호,경북,영천시,경북 영천시 망정동 208-21
1209,완산문외,경북,영천시,경북 영천시 문외동 258-6
1210,경북도청,경북,예천군,경북 예천군 호명면 산합리 1408
1211,북면,경북,울진군,경북 울진군 북면 부구리 159-27
1212,울진,경북,울진군,경북 울진군 울진읍 읍내리 576-1
1213,의성,경북,의성군,경북 의성군 의성읍 후죽리 470-6
1214,청도,경북,청도군,경북 청도군 청도읍 고수리 503
1215,석적,경북,칠곡군,경북 칠곡군 석적읍 중리 203-5
1216,오태북삼,경북,칠곡군,경북 칠곡군 북삼읍 인평리 246-3
1217,왜관,경북,칠곡군,경북 칠곡군 왜관읍 왜관리 237-19
1218,구룡포,경북,포항시,경북 포항시 남구 구룡포읍 구룡포리 742-1
1219,남부(포항),경북,포항시,경북 포항시 남구 대도동 124-13
1220,대해중앙,경북,포항시,경북 포항시 남구 대도동 97-4
1221,도구청림,경북,포항시,경북 포항시 남구 동해면 도구리 694-3
1222,송도,경북,포항시,경북 포항시 남구 해도동 25-28
1223,양학대이,경북,포항시,경북 포항시 남구 이동 652-4
1224,연일,경북,포항시,경북 포항시 남구 생지리 157-9
1225,오천,경북,포항시,경북 포항시 남구 오천읍 원리 913-2
1226,효곡,경북,포항시,경북 포항시 남구 효자동 579-1 풍림아이원상가 107호
1227,교촌Togo화진,경북,포항시,경북 포항시 북구 송라면 지경리 337-10
1228,양덕(포항),경북,포항시,경북 포항시 북구 양덕동 1574
1229,용흥,경북,포항시,경북 포항시 북구 용흥동 63-9
1230,우현,경북,포항시,경북 포항시 북구 우현동 산15-6
1231,장성,경북,포항시,경북 포항시 북구 장성동 1355-4
1232,죽도,경북,포항시,경북 포항시 북구 대흥동 592-2
1233,환호장량,경북,포항시,경북 포항시 북구 장성동 1378-3
1234,흥해,경북,포항시,경북 포항시 북구 흥해읍 옥성리 403-7
1235,고현상동,경남,거제시,경남 거제시 고현동 406-18
1236,상문,경남,거제시,경남 거제시 상동동 913-2
1237,수양,경남,거제시,경남 거제시 수월동 1120-14
1238,아주,경남,거제시,경남 거제시 아주동 1178-2
1239,옥포(거제),경남,거제시,경남 거제시 옥포동 160-1
1240,장승포,경남,거제시,경남 거제시 장승포동 697-2
1241,장평,경남,거제시,경남 거제시 장평동 274
1242,중곡,경남,거제시,경남 거제시 고현동 997
1243,지세포,경남,거제시,경남 거제시 일운면 지세포리 1009-7
1244,거창1호,경남,거창군,경남 거창군 거창읍 상림리 855
1245,고성(경남),경남,고성군,경남 고성군 고성읍 송학리 244-88
1246,구산,경남,김해시,경남 김해시 구산동 275-8
1247,내동,경남,김해시,경남 김해시 내동 138-1
1248,대청,경남,김해시,경남 김해시 대청동 61-1
1249,부원봉황,경남,김해시,경남 김해시 부원동 607-3
1250,삼계1호,경남,김해시,경남 김해시 삼계동 1479-4
1251,삼계2호,경남,김해시,경남 김해시 삼계동 1415-5
1252,삼방,경남,김해시,경남 김해시 삼방동 171-12
1253,삼정,경남,김해시,경남 김해시 삼정동 590-1
1254,어방,경남,김해시,경남 김해시 어방동 523-2
1255,외동(김해),경남,김해시,경남 김해시 외동 1187-12
1256,율하(김해),경남,김해시,경남 김해시 관동동 1106-5
1257,율하2지구,경남,김해시,경남 김해시 장유동 834-8
1258,장유1호,경남,김해시,경남 김해시 무계동 149-18
1259,주촌,경남,김해시,경남 김해시 주촌면 천곡리 1381-14
1260,지내안동,경남,김해시,경남 김해시 지내동 67-1
1261,진영,경남,김해시,경남 김해시 진영읍 진영리 1629-2
1262,남해,경남,남해군,경남 남해군 남해읍 서변리 160-11
1263,내일동,경남,밀양시,경남 밀양시 내이동 1566-6
1264,삼문상남,경남,밀양시,경남 밀양시 삼문동 717-11
1265,동금,경남,사천시,경남 사천시 동금동 58-4
1266,벌용,경남,사천시,경남 사천시 벌리동 255-9
1267,사남,경남,사천시,경남 사천시 사남면 월성리 64-3
1268,사천,경남,사천시,경남 사천시 사천읍 수석리 293-23
1269,산청,경남,산청군,경남 산청군 산청읍 옥산리 249
1270,원지,경남,산청군,경남 산청군 신안면 하정리 783-5
1271,덕계,경남,양산시,경남 양산시 덕계동 750
1272,물금,경남,양산시,경남 양산시 물금읍 범어리 2682-10
1273,삼성,경남,양산시,경남 양산시 북정동 885-12
1274,상북,경남,양산시,경남 양산시 상북면 석계리 242-1
1275,서창1호,경남,양산시,경남 양산시 삼호동 707-2
1276,석산,경남,양산시,경남 양산시 동면 금산리 1422-14
1277,중앙(양산),경남,양산시,경남 양산시 중부동 684-6
1278,증산(양산),경남,양산시,경남 양산시 물금읍 가촌리 1269-3
1279,통도사,경남,양산시,경남 양산시 하북면 순지리 814-5
1280,평산,경남,양산시,경남 양산시 평산동 105-4
1281,의령,경남,의령군,경남 의령군 의령읍 서동리 497-9
1282,가호,경남,진주시,경남 진주시 호탄동 611-3
1283,금산(진주),경남,진주시,경남 진주시 중천리 192-3
1284,상대,경남,진주시,경남 진주시 상대동 238-3
1285,상봉중앙,경남,진주시,경남 진주시 중안동 2-11
1286,상평,경남,진주시,경남 진주시 상평동 198-43
1287,신안평거,경남,진주시,경남 진주시 신안동 439-7
1288,이현인사,경남,진주시,경남 진주시 인사동 145-5
1289,정촌,경남,진주시,경남 진주시 정촌면 예하리 1300-14
1290,초장,경남,진주시,경남 진주시 초전동 1704-7
1291,칠암망경,경남,진주시,경남 진주시 칠암동 491-47
1292,판문평거,경남,진주시,경남 진주시 평거동 344-6
1293,하대초전,경남,진주시,경남 진주시 하대동 306-38
1294,혁신(경남 진주),경남,진주시,경남 진주시 진주시 충무공동 282-3
1295,남지,경남,창녕군,경남 창녕군 남지읍 남지리 994-7
1296,창녕,경남,창녕군,경남 창녕군 창녕읍 송현리 238-1
1297,마산현동,경남,창원시,경남 창원시 마산합포구 현동 374
1298,문화중앙,경남,창원시,경남 창원시 마산합포구 중앙동1가 1-4
1299,월영,경남,창원시,경남 창원시 마산합포구 해운동 42-11
1300,자산교방,경남,창원시,경남 창원시 마산합포구 자산동 301-19
1301,진동,경남,창원시,경남 창원시 마산합포구 진동면 진동리 436
1302,창동산호,경남,창원시,경남 창원시 마산합포구 산호동 338-35
1303,내서삼계,경남,창원시,경남 창원시 마산회원구 삼계리 35-14
1304,석전회성,경남,창원시,경남 창원시 마산회원구 석전동 264-56
1305,양덕(창원),경남,창원시,경남 창원시 마산회원구 양덕동 61-61
1306,합성,경남,창원시,경남 창원시 마산회원구 합성동 263-36
1307,호계,경남,창원시,경남 창원시 마산회원구 내서읍 호계리 289-45
1308,회원,경남,창원시,경남 창원시 마산회원구 회원2동 669-4
1309,남양(창원),경남,창원시,경남 창원시 성산구 가음동 7-2 더원빌딩 104호
1310,대방,경남,창원시,경남 창원시 성산구 성주동 100
1311,반송(창원),경남,창원시,경남 창원시 성산구 반지동 74-3
1312,사파,경남,창원시,경남 창원시 성산구 사파동 113-16
1313,상남,경남,창원시,경남 창원시 성산구 상남동 34-9
1314,성주안민,경남,창원시,경남 창원시 성산구 성주동 125
1315,중앙(창원 성산),경남,창원시,경남 창원시 성산구 중앙동 100-1
1316,감계,경남,창원시,경남 창원시 의창구 북면 감계리 246-4
1317,도계명서,경남,창원시,경남 창원시 의창구 도계동 396-9
1318,동읍,경남,창원시,경남 창원시 의창구 동읍 용잠리 371-2
1319,무동,경남,창원시,경남 창원시 의창구 북면 무동리 145-7
1320,봉곡사림,경남,창원시,경남 창원시 의창구 봉곡동 116-4
1321,용지호수,경남,창원시,경남 창원시 의창구 용호동 73-50
1322,중동유니시티,경남,창원시,경남 창원시 의창구 서상동 666-6
1323,팔용,경남,창원시,경남 창원시 의창구 팔용동 170-9
1324,남문,경남,창원시,경남 창원시 진해구 남문동 1246-4 (골든프라자)
1325,석동덕산,경남,창원시,경남 창원시 진해구 석동 139-6
1326,웅동용원,경남,창원시,경남 창원시 진해구 용원동 1212-11
1327,자은냉천,경남,창원시,경남 창원시 진해구 자은동 135-1 (자은빌딩 103호)
1328,중앙(진해),경남,창원시,경남 창원시 진해구 여좌동 925-40
1329,진해신항,경남,창원시,경남 창원시 진해구 용원동 1340
1330,태평,경남,창원시,경남 창원시 진해구 수송동 12-14
1331,풍호,경남,창원시,경남 창원시 진해구 풍호동 305-17
1332,미수봉평,경남,통영시,경남 통영시 미수동 22-1번지 운하상가 115호
1333,북신무전,경남,통영시,경남 통영시 무전동 1033-2
1334,죽림,경남,통영시,경남 통영시 광도면 죽림리 1574-57 가동 103호
1335,하동,경남,하동군,경남 하동군 하동읍 읍내리 238
1336,칠원,경남,함안군,경남 함안군 칠원읍 구성리 650-4
1337,함안,경남,함안군,경남 함안군 가야읍 말산리 58-27
1338,함양,경남,함양군,경남 함양군 함양읍 용평리 773-1
1339,합천,경남,합천군,경남 합천군 합천읍 합천리 320-3
1340,대정,제주,서귀포시,제주 서귀포시 대정읍 하모리 1048-4
1341,서귀포1호,제주,서귀포시,제주 서귀포시 동흥동 117-6
1342,서귀포남원,제주,서귀포시,제주 서귀포시 남원읍 남원리 50
1343,서귀포명동,제주,서귀포시,제주 서귀포시 서귀동 408-3
